plot , regular , random , yield
1    , A       , D      , 653
2    , B       , C      , 692
3    , C       , A      , 649
4    , D       , E      , 540
5    , E       , B      , 489
6    , F       , F      , 544
7    , A       , F      , 560
8    , B       , A      , 526
9    , C       , C      , 512
10   , D       , B      , 550
11   , E       , D      , 521
12   , F       , E      , 537
13   , F       , C      , 688
14   , E       , D      , 732
15   , D       , B      , 670
16   , C       , E      , 584
17   , B       , F      , 482
18   , A       , A      , 511
19   , F       , E      , 495
20   , E       , B      , 496
21   , D       , D      , 471
22   , C       , C      , 511
23   , B       , F      , 491
24   , A       , A      , 495
