"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"246",192,"Spencer Hawes","C",25,"TOT",61,59,31.6,5.1,11.2,0.453,1.6,3.8,0.415,3.5,7.3,0.473,1.5,1.9,0.781,1.7,7,8.7,3.1,0.5,1.2,2.2,3,13.2
"114",89,"Tyson Chandler","C",31,"NYK",39,39,30.3,3.7,6.3,0.594,0,0,NA,3.7,6.3,0.594,1.8,3,0.621,3.2,7.1,10.3,1.1,0.7,1.3,1.3,2.8,9.3
"266",208,"Dwight Howard","C",28,"HOU",62,62,34.1,6.9,11.6,0.59,0,0.1,0.333,6.8,11.5,0.592,5.1,9.3,0.551,3.3,9.1,12.4,1.8,0.9,1.8,3.3,3.4,18.9
"400",323,"Jameer Nelson","PG",31,"ORL",56,56,32.8,4.4,11.1,0.392,2.1,5.9,0.356,2.3,5.2,0.432,1.4,1.7,0.871,0.4,3.1,3.4,6.9,0.8,0.1,2.4,2.1,12.3
"316",256,"Ty Lawson","PG",26,"DEN",48,48,35.9,6.1,13.7,0.444,1.3,3.4,0.368,4.8,10.3,0.469,5.2,6.5,0.803,0.7,2.8,3.6,9,1.5,0.2,3.1,1.8,18.6
"294",234,"Wesley Johnson","SF",26,"LAL",62,50,28.4,3.6,8.2,0.438,1.3,3.5,0.37,2.3,4.7,0.488,0.7,0.9,0.776,0.9,3.3,4.1,1.4,1.1,1.1,1.2,2.8,9.2
"259",201,"George Hill","PG",27,"IND",57,57,31,3.8,8.2,0.461,1.3,3.5,0.382,2.5,4.7,0.519,1.9,2.3,0.833,0.6,3.1,3.7,3.4,0.9,0.3,1.3,2.1,10.8
"522",425,"P.J. Tucker","SF",28,"PHO",61,61,30.9,3.3,7.7,0.426,0.9,2.2,0.4,2.4,5.5,0.436,1.9,2.4,0.772,2.1,4.4,6.5,1.9,1.2,0.3,1.2,2.4,9.3
"526",428,"Evan Turner","SF",25,"PHI",54,54,34.9,6.6,15.4,0.428,0.7,2.4,0.288,5.9,12.9,0.455,3.5,4.2,0.829,0.9,5,6,3.7,1,0.1,2.9,2.7,17.4
"409",332,"Victor Oladipo","PG",21,"ORL",62,37,32,4.9,11.9,0.411,0.9,2.8,0.313,4,9,0.442,3.3,4.2,0.78,0.6,3.8,4.3,4,1.6,0.6,3.1,2.7,13.9
"207",159,"Rudy Gay","SF",27,"SAC",38,38,34.5,7.7,15.4,0.497,0.9,2.7,0.343,6.7,12.7,0.53,4.4,5.1,0.86,1.5,4.2,5.6,3.2,1.4,0.7,3,2.3,20.6
"174",132,"Tim Duncan","C",37,"SAS",56,56,29.7,6.1,12.5,0.493,0,0.1,0,6.1,12.4,0.496,3.3,4.5,0.732,2.1,7.9,10,2.9,0.5,2,2.3,1.8,15.6
"21",15,"James Anderson","SG",24,"PHI",61,43,28.6,3.8,8.6,0.444,1.3,4.1,0.319,2.5,4.6,0.556,1,1.4,0.718,0.8,3,3.8,1.8,1,0.3,1.3,1.9,10
"72",56,"Andrew Bogut","C",29,"GSW",55,55,27,3.7,5.9,0.633,0,0,NA,3.7,5.9,0.633,0.4,1.1,0.344,2.9,7.5,10.3,1.6,0.8,1.9,1.6,3.1,7.8
"106",81,"Jose Calderon","SG",32,"DAL",62,62,31.1,4.3,9.5,0.451,2.4,5.4,0.448,1.9,4.1,0.455,0.7,0.8,0.82,0.4,1.9,2.3,4.8,1,0.1,1.3,1.8,11.6
"95",72,"Trey Burke","PG",21,"UTA",50,48,31.1,4.7,12.6,0.371,1.6,4.9,0.332,3.1,7.7,0.395,1.4,1.5,0.907,0.5,2.7,3.2,5.3,0.6,0.1,1.9,2,12.3
"305",245,"Michael Kidd-Gilchrist","SF",20,"CHA",42,42,25.1,2.7,5.9,0.463,0,0.2,0.111,2.7,5.6,0.477,2,3.2,0.615,1.6,3.3,4.9,0.8,0.7,0.7,1.1,2.6,7.4
"193",149,"Randy Foye","SG",30,"DEN",60,57,29.4,4.3,10.3,0.412,2.3,5.9,0.385,2,4.4,0.449,1.8,2.1,0.843,0.4,2.2,2.6,3.2,0.8,0.5,1.8,2.6,12.6
"29",21,"Trevor Ariza","SF",28,"WAS",56,56,36,5.2,11.3,0.461,2.6,6,0.431,2.7,5.4,0.495,2,2.5,0.787,1.3,5.1,6.4,2.7,1.9,0.3,1.7,2.4,15
"140",111,"Stephen Curry","PG",25,"GSW",60,60,36.9,8.2,17.8,0.461,3.3,8,0.413,4.9,9.9,0.5,3.9,4.5,0.867,0.6,3.8,4.5,8.7,1.6,0.2,3.9,2.7,23.6
"225",173,"Danny Green","SG",26,"SAS",51,42,24.3,3,7.2,0.414,1.7,4.4,0.383,1.3,2.8,0.462,0.8,0.9,0.872,0.3,3,3.3,1.5,1,1,1.3,1.6,8.4
"100",75,"Jimmy Butler","SG",24,"CHI",47,47,37.3,4,10.2,0.393,0.9,3.3,0.261,3.1,6.9,0.455,3.9,5.1,0.76,1.4,3.6,5,2.3,2,0.6,1.6,1.4,12.8
"307",247,"Brandon Knight","PG",22,"MIL",52,49,32,6,14.4,0.419,1.6,4.6,0.346,4.5,9.8,0.453,3.4,4.1,0.819,0.6,2.8,3.4,5,0.9,0.2,2.5,1.8,17
"176",134,"Kevin Durant","SF",25,"OKC",61,61,38.4,10.5,20.6,0.51,2.2,5.6,0.394,8.3,14.9,0.553,8.6,9.8,0.875,0.7,7,7.7,5.5,1.4,0.8,3.6,2.2,31.8
"278",220,"LeBron James","PF",29,"MIA",57,57,37.3,10.1,17.4,0.577,1.5,3.9,0.374,8.6,13.5,0.636,5.7,7.6,0.746,1.1,5.9,6.9,6.4,1.5,0.3,3.5,1.7,27.2
